地域,サービス提供期間,年齢,結婚状態,現住所居住期間,世帯収入,教育レベル,現職就業期間,退職,性別,家族構成人数,無料長距離電話サービス,通信装置レンタル,コールカードサービス,ワイヤレスサービス,前月の長距離サービス利用量,前月の無料長距離電話サービス利用量,前月の通信装置のレンタル利用量,前月のコールカードサービス利用量,前月のワイヤレスサービス利用量,全期間の長距離サービス利用量,全期間の無料長距離電話サービス利用量,全期間の通信装置のレンタル利用量,全期間のコールカードサービス利用量,全期間のワイヤレスサービス利用量,複数回線の有無,ヴォイスメールサービス,呼び出しサービス,インターネットサービス,発信者番号通知サービス,通話中着信サービス,着信転送サービス,三者通話サービス,電子請求サービス,log(前月の長距離サービス利用量）,log(前月の無料長距離電話サービス利用量）,log(前月の通信装置のレンタル利用量）,log(前月のコールカードサービス利用量）,log(前月のワイヤレスサービス利用量）,log(世帯収入),顧客区分,Churn
Zone 3,7,35,Unmarried,14,80,High school degree,15,No,Female,1,Yes,No,Yes,No,7.1,22,0,23.75,0,47.45,166.1,0,145,0,No,Yes,No,No,Yes,Yes,Yes,Yes,No,1.960095,3.091042,,3.167583,,4.382027,Plus service,No
Zone 1,41,38,Married,8,37,High school degree,9,No,Female,3,No,No,Yes,No,8.55,0,0,41.75,0,308.7,0,0,1650,0,No,No,No,No,No,No,No,No,No,2.145931,,,3.731699,,3.610918,Basic service,No
Zone 2,57,54,Married,30,115,College degree,23,No,Female,3,Yes,Yes,No,Yes,15.6,46.25,46.7,0,61.05,825.35,2624.25,2590.95,0,3348.85,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.747271,3.834061,3.843744,,4.111693,4.744932,Total service,Yes
Zone 2,9,46,Unmarried,3,25,Did not complete high school,8,No,Female,2,No,No,No,No,4.4,0,0,0,0,36.8,0,0,0,0,No,No,No,No,No,No,No,No,No,1.481605,,,,,3.218876,Basic service,No
Zone 1,29,38,Married,12,75,Post-undergraduate degree,1,No,Male,4,No,Yes,Yes,No,5.1,0,30.25,11.25,0,146.25,0,780.8,295,0,Yes,No,No,Yes,No,No,No,No,No,1.629241,,3.409496,2.420368,,4.317488,E-service,No
Zone 3,60,57,Unmarried,38,162,High school degree,30,No,Male,1,Yes,Yes,Yes,No,16.15,29.75,31.3,30,0,946.9,1767.6,1788.95,1795,0,Yes,No,No,No,Yes,Yes,Yes,Yes,No,2.78192,3.392829,3.443618,3.401197,,5.087596,Plus service,No
Zone 3,34,48,Unmarried,3,49,High school degree,6,No,Female,3,Yes,No,No,No,6.65,18.5,0,0,0,230.8,614.3,0,0,0,No,No,No,No,No,Yes,Yes,Yes,No,1.894617,2.917771,,,,3.89182,Plus service,No
Zone 2,1,24,Unmarried,3,20,Did not complete high school,3,No,Male,1,No,No,No,No,1.05,0,0,0,0,1.05,0,0,0,0,No,No,No,No,No,No,No,No,No,0.04879,,,,,2.995732,Basic service,No
Zone 1,26,29,Married,3,77,College degree,2,No,Male,4,No,Yes,Yes,Yes,6.7,0,48.1,24.25,38.3,140.95,0,1132.8,610,910.1,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,1.902108,,3.873282,3.188417,3.64545,4.343805,Total service,Yes
Zone 3,6,30,Unmarried,7,16,Some college,1,No,Female,1,No,Yes,No,Yes,3.75,0,33.8,0,18.7,25.65,0,175.3,0,78.2,Yes,No,Yes,Yes,No,Yes,No,No,No,1.321756,,3.520461,,2.928524,2.772589,E-service,Yes
Zone 1,68,52,Married,17,120,Did not complete high school,24,No,Male,2,No,No,Yes,No,20.7,0,0,22,0,1391.05,0,0,1505,0,No,No,No,No,No,No,Yes,No,No,3.030134,,,3.091042,,4.787492,Basic service,No
Zone 3,53,33,Unmarried,10,101,Post-undergraduate degree,4,No,Female,2,No,Yes,Yes,Yes,5.3,0,49.6,26.75,51.4,253.35,0,2499.8,1340,2645.15,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,1.667707,,3.903991,3.286534,3.939638,4.615121,Total service,No
Zone 3,55,48,Married,19,67,Did not complete high school,25,No,Male,3,No,No,Yes,No,15.05,0,0,27.25,0,810.45,0,0,1390,0,No,No,No,No,No,No,No,No,No,2.711378,,,3.305054,,4.204693,Basic service,No
Zone 3,14,43,Married,18,36,Did not complete high school,5,No,Male,5,Yes,No,Yes,No,12.5,19.75,0,18,0,153.75,273.75,0,215,0,No,No,No,No,Yes,Yes,Yes,Yes,No,2.525729,2.983153,,2.890372,,3.583519,Plus service,No
Zone 2,1,21,Unmarried,0,33,High school degree,0,No,Female,3,Yes,No,Yes,No,2.2,20.75,0,40.5,0,2.2,20.75,0,40.5,0,No,No,No,No,No,Yes,Yes,Yes,No,0.788457,3.032546,,3.701302,,3.496508,Plus service,No
Zone 2,42,40,Unmarried,7,37,High school degree,8,No,Female,1,Yes,Yes,Yes,Yes,8.25,23.5,36.9,28,37.4,399.15,950.65,1532.9,1190,1562,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,2.110213,3.157,3.608212,3.332205,3.621671,3.610918,Total service,No
Zone 3,25,33,Married,11,31,Did not complete high school,5,No,Male,4,No,No,No,No,9.1,0,0,0,0,234.95,0,0,0,0,Yes,No,No,No,Yes,No,Yes,No,No,2.208274,,,,,3.433987,Plus service,No
Zone 1,9,21,Married,1,17,High school degree,2,No,Female,3,No,No,No,No,2.9,0,0,0,0,25.25,0,0,0,0,No,No,No,No,Yes,No,No,No,No,1.064711,,,,,2.833213,Basic service,No
Zone 2,13,33,Married,9,19,College degree,0,No,Female,2,No,Yes,No,No,5.55,0,27.35,0,0,75.25,0,330.65,0,0,Yes,No,No,Yes,No,No,No,Yes,Yes,1.713798,,3.308717,,,2.944439,E-service,No
Zone 1,56,37,Married,6,36,Did not complete high school,13,No,Female,2,No,Yes,Yes,No,10.6,0,31.1,18.25,0,582.6,0,1756.35,1005,0,Yes,No,No,Yes,No,No,No,No,Yes,2.360854,,3.437208,2.904165,,3.583519,E-service,No
Zone 1,71,53,Married,27,155,Post-undergraduate degree,12,No,Male,2,Yes,No,Yes,Yes,21,56,0,34,49.95,1519.2,4064.3,0,2345,3646.9,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,3.044522,4.025352,,3.526361,3.911023,5.043425,Total service,No
Zone 1,35,50,Married,26,140,High school degree,21,No,Female,4,Yes,No,Yes,No,6.5,27.5,0,35,0,247.55,1068.25,0,1215,0,No,No,No,No,No,Yes,Yes,Yes,No,1.871802,3.314186,,3.555348,,4.941642,Plus service,No
Zone 1,11,27,Married,8,55,Post-undergraduate degree,0,No,Male,3,No,Yes,No,No,4.8,0,19.55,0,0,54.1,0,220.4,0,0,Yes,No,No,Yes,No,No,No,No,No,1.568616,,2.972975,,,4.007333,E-service,No
Zone 2,60,46,Married,13,163,Some college,24,No,Male,2,Yes,Yes,Yes,Yes,33.9,38.25,44.65,13.75,55.25,1947.95,2326.35,2645.85,840,3125.95,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,3.523415,3.644144,3.798854,2.621039,4.011868,5.09375,Total service,No
Zone 3,20,35,Married,11,52,College degree,0,No,Male,2,No,Yes,No,No,4.25,0,30.55,0,0,82.7,0,547.15,0,0,Yes,No,No,Yes,No,No,No,No,Yes,1.446919,,3.419365,,,3.951244,E-service,Yes
Zone 2,54,60,Unmarried,38,211,College degree,25,No,Male,1,Yes,Yes,Yes,Yes,21.15,39.25,46.35,54.25,54.85,1228.7,2102.25,2421.3,2785,2895.85,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,3.05164,3.669951,3.836221,3.993603,4.004602,5.351858,Total service,No
Zone 1,44,57,Married,1,186,High school degree,17,No,Male,2,Yes,No,Yes,Yes,9.8,33.5,0,36,41.65,428.25,1379.55,0,1535,1826.7,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,2.282382,3.511545,,3.583519,3.729301,5.225747,Plus service,No
Zone 1,11,41,Married,0,39,Did not complete high school,1,No,Female,2,Yes,No,Yes,No,6.55,29.25,0,19.75,0,67.8,303.65,0,200,0,No,Yes,No,No,Yes,Yes,Yes,Yes,No,1.879465,3.37588,,2.983153,,3.663562,Plus service,Yes
Zone 2,72,57,Unmarried,34,22,High school degree,35,Yes,Female,1,Yes,No,Yes,No,41.75,49,0,18.75,0,3043.05,3581,0,1360,0,Yes,No,No,No,Yes,Yes,Yes,Yes,No,3.731699,3.89182,,2.931194,,3.091042,Plus service,No
Zone 3,10,41,Unmarried,7,30,Did not complete high school,7,No,Male,1,Yes,No,Yes,No,2.5,19.25,0,53.75,0,31.25,178.2,0,490,0,No,No,No,No,Yes,Yes,Yes,Yes,No,0.916291,2.957511,,3.984344,,3.401197,Plus service,No
Zone 2,15,28,Unmarried,0,29,High school degree,4,No,Female,1,Yes,No,Yes,No,4.25,30,0,17.75,0,78,426.05,0,255,0,No,No,No,No,Yes,Yes,Yes,Yes,No,1.446919,3.401197,,2.876386,,3.367296,Plus service,No
Zone 2,27,28,Married,4,23,High school degree,8,No,Male,5,No,No,No,No,6.2,0,0,0,0,180.15,0,0,0,0,No,No,No,No,Yes,No,No,No,No,1.824549,,,,,3.135494,Basic service,No
Zone 1,9,36,Married,14,62,College degree,10,No,Male,6,No,Yes,No,Yes,5.65,0,46.75,0,48.5,43.3,0,386.6,0,364.85,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,1.731656,,3.844814,,3.881564,4.127134,Total service,Yes
Zone 1,64,43,Married,20,76,College degree,20,No,Female,4,Yes,No,Yes,No,14.7,18.75,0,11,0,897.05,1279.25,0,680,0,Yes,No,No,No,Yes,Yes,No,Yes,No,2.687847,2.931194,,2.397895,,4.330733,Plus service,No
Zone 1,65,41,Married,3,74,College degree,16,No,Male,2,No,Yes,Yes,No,14.5,0,37,17,0,963.3,0,2263.05,1065,0,Yes,Yes,No,Yes,No,No,No,No,Yes,2.674149,,3.610918,2.833213,,4.304065,E-service,No
Zone 1,49,51,Married,27,63,College degree,19,No,Male,5,Yes,No,Yes,No,12.85,25.75,0,14.25,0,585.6,1278.45,0,635,0,Yes,No,No,Yes,No,Yes,No,No,Yes,2.553344,3.248435,,2.656757,,4.143135,E-service,No
Zone 3,47,41,Married,0,36,College degree,8,No,Male,2,No,Yes,Yes,Yes,7.75,0,37.45,18.5,38.8,361,0,1717.75,845,1730.4,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,2.047693,,3.623007,2.917771,3.65842,3.583519,Total service,Yes
Zone 3,9,34,Married,9,33,High school degree,8,No,Female,4,No,Yes,No,No,2.95,0,22.95,0,0,18.9,0,208.55,0,0,No,No,No,No,No,No,No,No,No,1.081805,,3.133318,,,3.496508,Basic service,Yes
Zone 1,5,36,Unmarried,14,29,High school degree,9,No,Female,1,Yes,No,Yes,Yes,3.25,31.5,0,15.5,26.75,16.8,154.65,0,60,98.6,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,1.178655,3.449988,,2.74084,3.286534,3.367296,Plus service,Yes
Zone 2,30,34,Married,4,27,High school degree,1,No,Male,5,No,Yes,No,No,6.3,0,22.5,0,0,150.9,0,690.75,0,0,No,No,No,Yes,No,No,No,No,No,1.84055,,3.113515,,,3.295837,Basic service,Yes
Zone 1,56,52,Married,28,49,High school degree,12,No,Male,4,No,No,Yes,No,24.75,0,0,22.25,0,1349.05,0,0,1215,0,Yes,No,No,No,No,No,No,No,No,3.208825,,,3.102342,,3.89182,E-service,No
Zone 3,10,22,Unmarried,0,24,College degree,0,No,Male,1,Yes,Yes,Yes,Yes,7.8,23.75,37.25,22.5,30.05,63,222.55,330.4,185,306.3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.054124,3.167583,3.617652,3.113515,3.402863,3.178054,Total service,No
Zone 1,7,26,Married,3,26,High school degree,2,No,Male,5,Yes,No,No,No,4.85,15.5,0,0,0,33.7,136.55,0,0,0,No,No,No,No,No,Yes,No,No,No,1.578979,2.74084,,,,3.258097,Basic service,No
Zone 1,52,27,Unmarried,6,47,Some college,5,No,Male,2,Yes,No,Yes,No,6.25,18.5,0,14.25,0,330.4,942.65,0,725,0,No,No,No,No,Yes,No,No,No,Yes,1.832581,2.917771,,2.656757,,3.850148,Basic service,No
Zone 2,36,45,Married,1,94,High school degree,18,No,Female,5,Yes,Yes,No,No,7.2,15.75,28.35,0,0,258.75,553.8,1043.8,0,0,No,No,Yes,Yes,Yes,No,No,Yes,No,1.974081,2.75684,3.344627,,,4.543295,Basic service,Yes
Zone 3,27,34,Unmarried,8,21,Some college,4,No,Female,1,No,No,No,No,7.65,0,0,0,0,213.45,0,0,0,0,Yes,No,No,No,No,No,No,No,No,2.034706,,,,,3.044522,E-service,No
Zone 1,58,62,Married,36,27,Did not complete high school,0,No,Male,2,No,No,Yes,No,15.5,0,0,34.5,0,967.1,0,0,1910,0,No,No,No,No,No,No,No,No,No,2.74084,,,3.540959,,3.295837,Basic service,No
Zone 2,41,52,Unmarried,27,30,High school degree,2,No,Female,1,Yes,No,Yes,Yes,10.4,28,0,19,27.5,447.85,1152,0,800,1036.65,No,No,No,No,Yes,Yes,Yes,Yes,No,2.341806,3.332205,,2.944439,3.314186,3.401197,Plus service,No
Zone 2,47,40,Married,16,127,College degree,12,No,Female,4,No,Yes,Yes,No,19.7,0,28.15,14.75,0,909.9,0,1319.7,680,0,Yes,No,No,Yes,No,No,No,No,Yes,2.980619,,3.337547,2.691243,,4.844187,E-service,No
Zone 2,55,39,Married,15,137,High school degree,20,No,Female,2,Yes,No,Yes,No,12.7,27.5,0,11.5,0,676.9,1505.2,0,620,0,No,Yes,No,No,Yes,Yes,Yes,Yes,No,2.541602,3.314186,,2.442347,,4.919981,Plus service,Yes
Zone 2,56,50,Married,1,80,High school degree,24,No,Female,4,Yes,No,Yes,Yes,28.8,55.5,0,21.25,61.1,1558.1,3119.45,0,1065,3268.05,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,3.360375,4.016383,,3.056357,4.112512,4.382027,Total service,No
Zone 3,35,55,Unmarried,24,30,High school degree,2,No,Male,1,No,No,Yes,No,10.25,0,0,15.75,0,395.85,0,0,550,0,No,No,No,No,No,No,No,No,No,2.327278,,,2.75684,,3.401197,Basic service,No
Zone 2,69,51,Married,11,438,College degree,23,No,Female,2,No,Yes,Yes,No,29,0,47.05,24.75,0,1815.4,0,3064.15,1655,0,Yes,No,Yes,Yes,Yes,No,No,Yes,No,3.367296,,3.851211,3.208825,,6.082219,Total service,No
Zone 2,44,39,Unmarried,16,79,High school degree,16,No,Male,1,Yes,Yes,Yes,Yes,15.25,24.5,37.45,27.25,30.05,653.7,1037.45,1610.1,1110,1280,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.72458,3.198673,3.623007,3.305054,3.402863,4.369448,Total service,Yes
Zone 3,36,47,Married,16,63,Did not complete high school,23,No,Male,2,No,No,Yes,No,9.05,0,0,6.75,0,373.65,0,0,220,0,No,No,No,No,No,No,No,No,No,2.202765,,,1.909543,,4.143135,Basic service,No
Zone 3,28,51,Married,22,40,Some college,10,No,Female,6,Yes,No,No,No,8.95,21.25,0,0,0,253.55,586.95,0,0,0,No,No,No,No,Yes,Yes,Yes,Yes,No,2.191654,3.056357,,,,3.688879,Plus service,No
Zone 1,72,67,Married,44,51,Did not complete high school,34,Yes,Male,2,Yes,No,Yes,No,57.05,51.5,0,19.25,0,4168.25,3657.9,0,1345,0,Yes,No,No,No,Yes,Yes,Yes,Yes,No,4.043928,3.941582,,2.957511,,3.931826,Plus service,No
Zone 1,16,27,Unmarried,5,37,Some college,5,No,Male,4,No,No,No,No,6,0,0,0,0,80.7,0,0,0,0,No,No,No,No,No,No,No,No,No,1.791759,,,,,3.610918,Basic service,No
Zone 3,3,43,Unmarried,19,61,College degree,11,No,Female,1,No,Yes,Yes,Yes,3.15,0,27.25,16.25,17.95,7.9,0,53.25,20,38.2,No,No,No,Yes,Yes,No,No,Yes,Yes,1.147402,,3.305054,2.788093,2.88759,4.110874,Basic service,Yes
Zone 1,40,57,Married,15,22,High school degree,9,No,Male,2,No,No,Yes,No,8.55,0,0,19.75,0,381.5,0,0,710,0,No,No,No,No,No,No,No,No,No,2.145931,,,2.983153,,3.091042,Basic service,No
Zone 3,16,39,Unmarried,6,44,College degree,3,No,Female,1,No,Yes,No,No,6.6,0,23.3,0,0,96.3,0,350.15,0,0,Yes,No,No,Yes,No,No,No,No,Yes,1.88707,,3.148453,,,3.78419,E-service,No
Zone 1,20,42,Unmarried,4,17,Some college,5,No,Male,1,No,No,No,No,7.8,0,0,0,0,175.85,0,0,0,0,No,No,No,No,No,No,No,No,No,2.054124,,,,,2.833213,Basic service,No
Zone 2,48,43,Unmarried,13,110,Post-undergraduate degree,15,No,Female,3,No,Yes,No,Yes,7.25,0,33.5,0,20.65,359.35,0,1572.7,0,1010.4,Yes,Yes,No,Yes,No,No,No,No,Yes,1.981001,,3.511545,,3.027715,4.70048,E-service,No
Zone 2,64,48,Married,13,91,High school degree,24,No,Male,2,Yes,No,Yes,Yes,24.5,24.75,0,12.5,29.65,1531.9,1569.25,0,780,1875.95,Yes,No,No,No,Yes,Yes,Yes,Yes,No,3.198673,3.208825,,2.525729,3.389462,4.51086,Plus service,No
Zone 1,8,46,Unmarried,3,46,High school degree,8,No,Male,1,No,Yes,No,No,3.15,0,25.05,0,0,16.65,0,172.05,0,0,No,No,Yes,Yes,No,No,No,No,Yes,1.147402,,3.220874,,,3.828641,Basic service,No
Zone 1,40,38,Married,10,85,Some college,12,No,Male,2,No,No,No,No,10.6,0,0,0,0,384.8,0,0,0,0,No,No,No,No,Yes,Yes,Yes,Yes,No,2.360854,,,,,4.442651,Plus service,Yes
Zone 2,38,71,Unmarried,27,10,High school degree,12,Yes,Male,1,No,No,No,No,11.2,0,0,0,0,429.85,0,0,0,0,No,No,No,No,No,No,No,Yes,No,2.415914,,,,,2.302585,Basic service,No
Zone 1,67,68,Unmarried,28,244,Did not complete high school,47,No,Female,1,Yes,No,Yes,No,30.25,30.25,0,30.75,0,2186.2,2036.15,0,2105,0,No,Yes,No,No,Yes,Yes,Yes,Yes,No,3.409496,3.409496,,3.42589,,5.497168,Plus service,No
Zone 1,26,42,Unmarried,0,80,College degree,15,No,Female,1,Yes,Yes,Yes,Yes,7.85,44,49.6,10.5,43.75,196.65,1123.25,1159.35,250,1176.55,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.060514,3.78419,3.903991,2.351375,3.778492,4.382027,Total service,No
Zone 3,41,34,Married,15,83,Post-undergraduate degree,1,No,Female,2,Yes,No,Yes,No,8.9,33.75,0,5.75,0,379.55,1404.45,0,220,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,2.186051,3.51898,,1.7492,,4.418841,Total service,No
Zone 2,2,31,Unmarried,2,21,Did not complete high school,6,No,Male,1,No,Yes,No,No,1.65,0,21.6,0,0,3.2,0,17.25,0,0,No,No,No,No,No,No,No,Yes,No,0.500775,,3.072693,,,3.044522,Basic service,Yes
Zone 3,20,48,Married,29,24,High school degree,3,No,Male,2,Yes,No,Yes,No,11.85,22.5,0,35,0,230.7,452.75,0,675,0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,2.472328,3.113515,,3.555348,,3.178054,Total service,Yes
Zone 2,31,53,Unmarried,2,351,Some college,31,No,Female,1,Yes,No,Yes,No,5.5,31.5,0,19.25,0,185.3,1009.9,0,585,0,No,No,Yes,No,Yes,Yes,Yes,Yes,No,1.704748,3.449988,,2.957511,,5.860786,Plus service,No
Zone 2,45,52,Married,4,169,College degree,29,No,Female,4,No,Yes,Yes,No,14.65,0,40.45,14.25,0,618.15,0,1820.4,690,0,Yes,No,No,Yes,No,No,No,No,No,2.68444,,3.700067,2.656757,,5.129899,E-service,No
Zone 2,33,27,Married,7,46,High school degree,7,No,Male,4,No,Yes,No,No,7.25,0,29.15,0,0,243.35,0,923.85,0,0,No,No,No,No,No,No,No,No,Yes,1.981001,,3.372455,,,3.828641,Basic service,No
Zone 1,10,26,Unmarried,6,34,Some college,3,No,Male,1,No,Yes,No,No,4.85,0,27.7,0,0,41.85,0,223.05,0,0,Yes,No,No,No,No,No,No,No,No,1.578979,,3.321432,,,3.526361,E-service,No
Zone 2,62,54,Married,2,50,College degree,3,No,Male,2,No,Yes,Yes,Yes,17.25,0,48,87.5,33.25,1067.8,0,2864.15,5455,2022.55,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,2.847812,,3.871201,4.471639,3.504055,3.912023,Total service,Yes
Zone 2,4,35,Unmarried,16,161,Post-undergraduate degree,6,No,Female,1,Yes,Yes,No,Yes,3.4,23.75,49.8,0,35.75,10.35,103.1,126.95,0,135.25,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1.223775,3.167583,3.908015,,3.57655,5.081404,Total service,Yes
Zone 1,42,47,Married,17,212,College degree,17,No,Male,2,Yes,No,Yes,No,7.45,26.75,0,24.75,0,320.9,1163.55,0,1035,0,No,No,No,No,Yes,Yes,Yes,No,No,2.008214,3.286534,,3.208825,,5.356586,Plus service,No
Zone 3,27,51,Married,3,80,Post-undergraduate degree,11,No,Male,3,No,Yes,No,No,7.1,0,39.4,0,0,176.2,0,1086.65,0,0,Yes,No,Yes,Yes,No,No,No,No,Yes,1.960095,,3.673766,,,4.382027,E-service,No
Zone 2,38,42,Unmarried,1,30,College degree,7,No,Female,1,Yes,No,No,No,13.2,27.5,0,0,0,495.85,1087.9,0,0,0,No,No,No,No,No,Yes,No,No,No,2.580217,3.314186,,,,3.401197,Basic service,No
Zone 3,52,61,Married,3,53,Post-undergraduate degree,1,No,Female,2,No,Yes,Yes,Yes,12.25,0,38.4,8.75,35.95,631.7,0,1884.1,465,1971.35,Yes,Yes,No,Yes,No,No,No,Yes,Yes,2.505526,,3.648057,2.169054,3.582129,3.970292,E-service,No
Zone 3,35,33,Unmarried,9,73,Post-undergraduate degree,4,No,Female,1,Yes,No,Yes,Yes,5.85,38.25,0,22.25,40.35,216.6,1337.6,0,700,1423.8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1.766442,3.644144,,3.102342,3.697591,4.290459,Total service,No
Zone 3,3,20,Married,1,17,High school degree,0,No,Female,4,No,No,No,No,3.75,0,0,0,0,12.3,0,0,0,0,No,No,No,No,No,No,No,No,Yes,1.321756,,,,,2.833213,Basic service,Yes
Zone 2,17,33,Unmarried,9,23,Post-undergraduate degree,3,No,Male,1,No,Yes,Yes,Yes,10.2,0,36.4,14.5,30.9,196.3,0,570.9,220,529.25,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,2.322388,,3.594569,2.674149,3.430756,3.135494,Total service,Yes
Zone 1,55,53,Married,21,34,Did not complete high school,8,No,Male,2,No,No,No,No,5.7,0,0,0,0,304.4,0,0,0,0,No,No,No,No,No,Yes,Yes,Yes,No,1.740466,,,,,3.526361,Plus service,No
Zone 3,43,36,Married,5,107,Did not complete high school,19,No,Female,3,Yes,No,Yes,No,11.55,12.75,0,21.5,0,491.55,583.75,0,910,0,Yes,No,No,No,No,No,No,No,No,2.446685,2.545531,,3.068053,,4.672829,E-service,Yes
Zone 2,47,25,Married,5,21,Did not complete high school,1,No,Female,2,Yes,No,Yes,No,8.65,30.5,0,9,0,426.6,1465.45,0,405,0,No,No,No,No,No,Yes,Yes,Yes,No,2.157559,3.417727,,2.197225,,3.044522,Plus service,Yes
Zone 3,65,58,Unmarried,30,83,High school degree,16,No,Female,1,No,No,Yes,No,19.3,0,0,22.75,0,1323.2,0,0,1370,0,Yes,No,No,No,No,Yes,No,No,No,2.960105,,,3.124565,,4.418841,E-service,No
Zone 1,13,20,Unmarried,1,17,Some college,0,No,Male,5,No,Yes,Yes,No,3.05,0,31.3,14,0,40.3,0,390.6,155,0,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,1.115142,,3.443618,2.639057,,2.833213,Total service,No
